,brand,3G,4G,5G,Announced,Weight,Length,Width,Diameter,Display Type,Display Size,ppi,body ratio,OS,battery_capacity,Price,CPU,pixel,Loudspeaker,3.5mm jack,Chipset,RAM,Storage,Micro-SIM,Mini-SIM,Nano-SIM,eSIM,ratio_1,ratio_2
2166,10,True,True,False,2015,200.0,161.7,80.9,7.4,6,6.0,367.0,75.9,0,4000.0,200.0,8.0,2073600.0,True,True,6,3.0,32.0,False,False,True,False,16.0,9.0
2344,10,True,False,False,2010,117.9,124.5,64.3,9.9,6,4.0,233.0,56.9,0,1500.0,100.0,5.847807757166947,384000.0,True,True,1,0.5,2.0,False,True,False,False,5.0,3.0
94,1,True,True,True,2021,240.0,160.8,78.1,7.7,5,6.7,458.0,87.4,2,4352.0,709.99,6.0,3566952.0,False,False,0,6.0,128.0,False,False,False,True,5.0,9.0
1655,12,True,True,False,2023,192.0,164.9,76.8,9.1,1,6.52,269.0,81.0,0,5000.0,89.99,8.0,1152000.0,True,True,4,2.0,32.0,False,False,True,False,20.0,9.0
33,0,True,True,False,2017,148.8,148.6,70.9,7.4,1,5.2,424.0,70.8,0,2620.0,210.0,8.0,2073600.0,False,True,6,3.0,32.0,False,False,True,False,16.0,9.0
1968,10,True,True,False,2021,192.0,159.0,75.1,9.0,6,6.4,403.0,84.2,0,6000.0,130.0,8.0,2527200.0,True,True,1,4.0,64.0,False,False,True,False,5.0,9.0
2147,10,True,True,False,2016,138.0,142.4,71.1,8.0,6,5.0,294.0,68.1,0,2600.0,140.0,4.0,921600.0,True,True,7,2.0,16.0,True,False,False,False,16.0,9.0
448,4,True,True,False,2014,165.0,156.6,78.7,7.9,2,5.5,267.0,67.7,0,2600.0,250.0,4.0,921600.0,False,True,6,1.5,8.0,False,False,True,False,16.0,9.0
1469,13,True,True,False,2022,188.0,137.0,68.0,10.5,7,5.0,215.0,69.3,0,2050.0,70.0,4.0,460800.0,True,True,4,2.0,16.0,False,False,True,False,18.0,9.0
716,5,True,True,False,2015,228.0,182.7,93.0,6.8,1,6.8,326.0,74.1,0,4360.0,400.0,8.0,2073600.0,True,True,3,3.0,64.0,False,False,True,False,16.0,9.0
2137,10,True,True,False,2016,182.0,156.6,76.8,7.2,6,5.7,386.0,74.5,0,3300.0,300.0,8.0,2073600.0,True,True,1,3.0,32.0,False,False,True,False,16.0,9.0
2307,10,True,False,False,2012,115.0,114.5,62.5,11.2,7,3.65,158.0,55.4,0,1300.0,120.0,5.847807757166947,153600.0,True,True,6,0.5,3.0,False,True,False,False,3.0,2.0
0,0,True,True,False,2022,172.0,146.7,71.9,10.0,7,5.5,293.0,74.0,0,3000.0,100.0,4.0,1036800.0,True,True,4,2.0,32.0,False,False,True,False,18.0,9.0
1848,12,True,True,False,2018,218.0,157.9,74.7,8.5,6,6.39,403.0,85.0,0,3200.0,730.0,8.0,2527200.0,True,False,6,6.0,128.0,False,False,True,False,5.0,9.0
1101,8,True,True,False,2015,140.0,129.9,64.9,10.9,1,4.5,218.0,66.2,0,1900.0,120.0,4.0,409920.0,True,True,6,1.0,8.0,True,False,False,False,16.0,9.0
1108,8,True,False,False,2014,137.0,138.1,70.6,10.7,1,5.0,196.0,70.7,0,2540.0,100.0,4.0,409920.0,True,True,4,1.0,8.0,True,False,False,False,16.0,9.0
1642,12,True,True,True,2023,223.0,161.4,75.3,8.5,0,6.73,522.0,89.6,0,4880.0,650.0,8.0,4608000.0,False,False,6,12.0,256.0,False,False,False,True,20.0,9.0
82,0,True,False,False,2011,123.0,112.0,58.6,12.1,7,3.2,180.0,46.5,0,1300.0,100.0,5.847807757166947,153600.0,True,True,4,0.25,0.5,False,True,False,False,3.0,2.0
1481,13,True,True,False,2021,190.0,166.0,76.0,8.7,1,6.52,269.0,81.4,0,4000.0,160.0,8.0,1152000.0,True,True,4,4.0,64.0,False,False,True,False,20.0,9.0
1729,12,True,True,False,2021,194.0,164.9,77.1,9.0,1,6.53,269.0,81.0,0,5000.0,100.0,8.0,1152000.0,True,True,4,4.0,64.0,False,False,True,False,20.0,9.0
