year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,sim,size,screen_to_body_ratio,resolution,ppi_density,price,battery
2021,nova 8i,Huawei,8,Android,10,"[('128', '6'), ('128', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",161.9 x 74.7 x 8.6,190,Nano-SIM,6.67,89.4,1080 x 2376,391,,4300
2021,Mate 40 Pro 4G,Huawei,8,HarmonyOS,2.0,"[('128', '8'), ('256', '8'), ('512', '8')]",111,"['Face ID', 'fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",162.9 x 75.5 x 9.1,212,Nano-SIM,6.76,94.1,1344 x 2772,456,800,4400
2021,Mate 40E 4G,Huawei,8,HarmonyOS,2.0,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'color spectrum']",158.6 x 72.5 x 8.8,188,Nano-SIM,6.5,89.3,1080 x 2376,402,550,4200
2021,Mate X2 4G,Huawei,8,HarmonyOS,2.0,"[('256', '8'), ('512', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer', 'color spectrum']",Unfolded: 161.8 x 145.8 x 8.2,295,Nano-SIM,8.0,86.9,2200 x 2480,414,2290,4500
2021,MatePad Pro 12.6 (2021),Huawei,8,HarmonyOS,2.0,"[('128', '8'), ('256', '4'), ('256', '8'), ('256', '12'), ('512', '12')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",286.5 x 184.7 x 6.7,609,Nano-SIM,12.6,87.0,2560 x 1600,240,800,10
2021,MatePad Pro 10.8 (2021),Huawei,8,HarmonyOS,2.0,"[('128', '6'), ('128', '8'), ('256', '8')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",246 x 159 x 7.2,460,Nano-SIM,10.8,86.5,2560 x 1600,280,500,7250
2021,MatePad 11 (2021),Huawei,8,HarmonyOS,2.0,"[('64', '6'), ('128', '6'), ('128', '8'), ('256', '6'), ('256', '8')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",253.8 x 165.3 x 7.3,485,,10.95,82.9,2560 x 1600,276,400,7250
2021,Watch 3 Pro,Huawei,,HarmonyOS,2.0,"[('16', '2')]",111,"['Accelerometer', 'gyro', 'heart rate', 'barometer', 'compass', 'SpO2', 'thermometer']",48 x 49.6 x 14,63,,1.43,,466 x 466,326,360,
2021,Watch 3,Huawei,,HarmonyOS,2.0,"[('16', '2')]",111,"['Accelerometer', 'gyro', 'heart rate', 'barometer', 'compass', 'SpO2', 'thermometer']",46.2 x 46.2 x 12.2,54,,1.43,,466 x 466,326,200,
2021,nova 8 Pro 4G,Huawei,8,Android,10,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",163.3 x 74.1 x 7.9,184,Nano-SIM,6.72,91.7,1236 x 2676,439,,4000
